               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.017577,           0.0084401,                   0,             0.98549,             0.99162,             0.99243,              0.9206,           0.0098318,           0.0026199,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.017347,           0.0083846,                   0,              0.9849,              0.9925,             0.99271,             0.91859,           0.0096549,           0.0026001,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,              0.0172,           0.0082587,                   0,              0.9859,             0.99341,             0.99259,             0.92221,           0.0097347,           0.0025772,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.017021,            0.008003,                   0,             0.98669,             0.99453,             0.99263,             0.92525,           0.0096047,           0.0025323,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.016836,           0.0082968,                   0,             0.98821,             0.99132,             0.99268,             0.92443,            0.009596,           0.0025558,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.017064,           0.0081348,                   0,             0.98751,             0.99132,             0.99238,             0.92376,           0.0097046,           0.0025718,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.016865,           0.0082088,                   0,              0.9861,             0.99211,             0.99247,             0.92032,           0.0098343,           0.0025908,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.016936,           0.0080174,                   0,             0.98535,             0.99053,             0.99249,             0.91868,           0.0099873,           0.0026034,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.017083,            0.008092,                   0,             0.98548,             0.99073,             0.99244,             0.92268,           0.0098288,           0.0025776,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.017205,           0.0079754,                   0,             0.98434,             0.99206,             0.99246,             0.92234,           0.0097998,           0.0025702,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.017691,            0.008204,                   0,             0.98705,             0.99278,             0.99252,             0.92449,           0.0095768,           0.0025478,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.017236,           0.0082676,                   0,             0.98824,             0.99498,             0.99261,             0.92741,           0.0095325,           0.0025229,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,             0.01713,           0.0081518,                   0,             0.99023,             0.99487,             0.99264,             0.92633,           0.0095602,           0.0025382,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.017007,           0.0081675,                   0,              0.9888,              0.9929,             0.99284,             0.92907,           0.0094213,           0.0025128,                   0,           0.0080398,           0.0080398,           0.0080398
